speaker,receiver,start,end,transcript,notes_challenges
B,All,0:01,0:04,"Peak, alright, why don't we split up huh?",
,All,0:04,0:06,because I think I got this one figured out,
,All,0:17,0:21,"do you think the uh, yo could I get people's opinions on the greenbox",joking
,self,0:35,0:38,hmm.. left,
,self,0:48,0:57,up.. left..,working the puzzle
,self/the room,1:27,1:30,"Imma go ahead and put a pin in that, let's go back to that later",receiver/transcript unclear
,A,1:32,1:33,hmm? you got it?,
,A,1:33,1:36,"how much does your heart weigh, how much does the heart weigh?",
,A,1:39,1:43,"well, how mu- does it weigh anything?",
,All,1:45,1:48,whose heart is this?,
,All,1:50,1:53,well it can't go into the afterlife huh? too bad,
,C,1:57,2:00,"I dunno, I think I'm one away from getting that one",
,C,2:02,2:05,uh I'm looking at the way the heads are turned,
,C,2:06,2:11,"or the way the posture is, but uh some of them don't.. aren't that uh intuitive",
,All,2:13,2:16,"like, like this one, I dunno about this one",
,All,2:19,2:22,"but, but aren't there aren't there, wait",
,A,2:26,2:28,"four, four okay",
,All,2:30,2:32,that's still a lot isn't it?,
,All,2:34,2:40,"ok, I'm pretty sure, so that's left, I'm assuming like standing behind them, right? from that perspective?",
,All,2:40,2:50,"I dunno about this guy, I think I put him in.. I dunno this- this one's in the grey area. This one's down, this one's left, this one's up, this one is.. I dunno",
,C,2:55,3:01,"looking at the way their posture is in general.. cause some, I mean this guy looks like he's leaning left right?",
,All,3:02,3:06,"I tried looking at the way they were facing, but that didn't work",
,C,3:22,3:27,"that's what I read, I read that as down I read this as up.. it could also be the way their arms are going",
,D,3:48,3:51,"uh colors? are, is there a different lock for this one?",
,C and D,4:05,4:08,"wait, so some kind of density thing, or something",
,C,4:16,4:28,"still need to label our acid.. what? acid vials? from weakest to strongest, ok",
,All,4:36,4:37,"no it says, still need to label them from weakest to strongest",
,A,4:38,4:40,weak acid? means it doesn't dissolve as much right?,
,C,4:48,4:51,high or low.. high or low what? high PH,
,C,4:52,4:54,"probably not, there's no way right?",
,C,4:56,4:59,"that'd be goofy as hell, there's no way they",
,A,5:00,5:04,how much does the brain weigh... why don't you know,joking
,All,5:26,5:33,"the things that are affected? no I'm pretty sure this is first, um yeah pretty sure this is first, maybe this second..",
,C,5:34,5:37,"it's not, no I'm just, just making a speculation here yeah",
,A,5:39,5:43,"why, why would, that's the goofiest connection ever no way that's what they're going for",laughing
,All,5:46,5:50,"why don't we stop messing with that, lets go do the.. this one huh?",
,prof,5:52,5:54,am I uh.. am I displaying leadership right now?,
,C,6:18,,how many pieces of paper are here?,
,self,6:22,6:23,five..,
,C,6:28,6:30,ok well.. hmm probably has nothing to do,
,C,6:31,6:39,"yo what if it's the date, what if it's the date.. ten, ten, twenty, thirty.. ten, ten, thirty right? cause nobody cares about the twenty, yeah?",
,C,6:42,6:44,yeah.. agreed,
,C,6:46,6:52,"wait, there were serums in here or it said something.. are- are they all connected?",
,room,7:28,7:34,uh I'm gonna go out on a limb here and say that.. we're probably only going to be able to do this one,
,A,7:35,7:36,"like, you don't need to weigh that",
,A,7:37,7:41,"alright, lets stop messing with the christmas liquid huh?",
,self,7:56,7:59,CMC biotech laboratory.. hmm,
,A,8:19,8:22,I'm guessing that one only activates when we do one of these.. or do one of the other ones,
,All,8:32,8:34,don't we have a lock over here too? We do,
,C and D,9:47,9:48,"yay, government uh.. censorship",response to prof simplifying puzzle
,C and D,9:54,9:59,maybe the locks have to go in order? or are they already in order?,
,C,10:04,10:10,"five.. ten fourteen.. I guess this is one here, maybe one whole year then",
,A,10:14,10:17,"yeah, um that's probably a good idea yeah",
,A,10:18,10:21,hm? nope,
,C and A,10:23,10:29,Somebody might have uh.. no.. it's about winning?,
,C and A,10:29,10:34,ok what if we can.. can we come up with an excuse to justify a direction for all these?,
,All,10:34,10:45,"like, ok, what about the um, first guy, number one? this guy's got his right hand going up right? right hand? therefore direction is right?",
,A,10:46,10:49,that's his left hand? oh I guess you're right,
,All,10:54,11:04,what if it's the chair see? so? what's in there? nothing in there? oh that's too bad,
,All,11:28,11:33,"what if, is this guy pointing down? like, what's going on here? I dunno",
,A,11:38,11:43,"probably not, doesn't mean anything",
,All,12:10,12:13,why would we be? maybe cause we're the zombies? or the scientists right?,
,C,12:14,12:15,maybe,
,All,12:24,12:28,"wait, why would we- why would we be expected to know that?",
,All,12:32,12:36,"ok, this guy looks like he's about to run away right? yeah?",
,D,12:40,12:43,some of em are on the ground some of em are floating?,
,All,12:47,12:48,why are the zombies floating?,
,D,12:50,12:54,"I guess.. oh, I see what you're talking about yeah",
,C and A,13:10,13:17,"ok what if we just, look at the zombies that are clearly doing some kind of an up down left right? Cause we know it has to be an up down left right puzzle right?",
,C and A,13:18,13:23,"ok this guy, this guy.. that's up. How about this guy, this guy looks like he's about to run away right?",
,C and A,13:23,13:28,"that's down, how about a left and right. This is left, this guy is running away right?",
,C,13:29,13:36,"oh wait, but this guy looks like he's about to sprint right? maybe? hm.. I dunno",
,D,13:48,13:50,mm that's a good point,
,All,14:04,14:07,"peak, what does that do though? did we get anything?",
,self,14:19,14:32,grows unexpectedly overnight.. two tissue samples deteriorate faster after.. recalibrate the thermal regulation system one time more before the next.. something,reading aloud
,A,14:36,14:42,"wait wait, colors? concious orange hmm, is that orange?",
,All,15:27,15:30,I could have sworn I saw something that said serum in here,
,All,16:10,16:16,do you know anything else in.. okay alright no it's probably in here,
,C,17:09,17:13,"I dunno about this guy, I think I put him in.. I dunno this- this one's in the grey area. This one's down, this one's left, this one's up, this one is.. I dunno",
,C,17:15,17:16,"ok well, lets go through all of them again",
,C and D,17:26,17:30,"this is talking about a heatwave, hold on... concious orange",
,C,18:20,18:27,"temporary reversal? um, this doesn't say anything about temporary- does this say anything about zombies either?",
,C,18:29,18:32,something was talking about a heatwave so I dunno,
,D,18:57,19:02,three blacked out words- oh that's a good point yep.,
,C and D,19:07,19:40,"nope that's not it, reversal spasms? tissue cures? no next one reversal cures? no, reversal period? I think it's this one here, it's the best",
,A,20:04,20:06,it does? acid..,
,All,20:51,20:53,isn't the brain the one that's effected by the zombie thing?,
,All,21:16,21:21,what were the units to begin with? pounds?,
,A,21:38,21:47,"ok, heart is kind of weak.. two point five, why else would we have a scale if we're not trynna.. did we already compare the weights?",
,A,22:00,22:09,"it could be weight, wait but this was two point five, weak as in.. it's not that heavy right?",
,A,22:10,22:20,"but they said rank from weakest to strongest so it's gonna be, its gonna be like one two three four right? aren't we comparing the weights? did you already try that? you did.",
,A,22:39,22:48,"E, B, E, H.. it could also be the color? wait a minute, I mean the ears aren't red right?",
,All,22:49,22:51,these are all very red,
,All,23:04,23:06,this also doesn't look like a heart,
,A,23:31,23:33,"well let's check, heart weighs the most so far",
,A,23:37,23:40,this is close to the brain hold on,
,A,23:42,24:00,"eyeballs I think are the lowest.. hold on let me check the brain again, oh brain is the most.. ok brain, heart, eyeballs, ears",
,A,24:47,24:53,"what if you- what if you just put in the one, two, three, four in becuase you had it backwards",
,A,24:54,25:03,"like the.. brain, heart.. what would it be- two, two three, four, one? two, three four one.. cause you had it backwards right?",
,A,25:11,25:19,nope? oh wait that was reversed,
,All,25:20,25:23,"did I say? one, four, three, two?",
,A,28:23,28:24,"why was it four, one, three, two?",
,prof,28:32,28:34,we can try,
,A,28:39,28:42,it just says don't pour them until its been unlocked,
,All,28:45,28:50,"one of them- look, some of them are full and some of them are partial",
,A,29:05,29:10,"um, well okay it says here what is whole becomes one",
